track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
id_00000,Artista 94,Album 42,Faixa 764,90,314219,False,0.35333501258608463,0.43446696037457105,10,-10.927458352698451,1,0.30454959091757833,0.760721278818632,0.07092222511839039,0.1459531938491692,0.5141611780557678,138.9789148604064,4,jazz
id_00001,Artista 102,Album 213,Faixa 910,90,207057,False,0.5985207393682477,0.8080914516754844,3,-3.7698478517693443,0,0.14740196089671923,0.21135190832792372,0.04952160412094351,0.07271974881186238,0.3989022496986236,115.89519505632734,4,rock
id_00002,Artista 151,Album 182,Faixa 829,23,232371,False,0.39302447432292575,0.45621191349656576,11,-11.71579611984621,1,0.15141715073448647,0.20465477655635575,0.08079419868930378,0.5839864081792555,0.6565759131033552,103.49153248630455,3,metal
id_00003,Artista 190,Album 261,Faixa 1319,10,174105,False,0.38817772528574745,0.8277048050358385,4,-3.1921143031841464,1,0.38149525960581715,0.19312494239092814,0.041256783321593264,0.06369883983363868,0.7464725115124906,170.15148947235014,4,hip-hop
id_00004,Artista 6,Album 76,Faixa 418,91,233413,False,0.4903292244925808,0.7102955112564425,11,-4.6293101760519075,0,0.22627156979993535,0.4097278563069133,0.06339669422640387,0.5510540731288046,0.3029227839231157,115.88482446401075,3,pop
id_00005,Artista 28,Album 81,Faixa 774,31,145427,False,0.6728748522911897,0.3299366663572151,6,-14.868863782636925,1,0.09555876927501115,0.3896207913664365,0.006405200198448789,0.10737327680426713,0.32645864352421883,123.83056615097746,4,pop
id_00006,Artista 164,Album 58,Faixa 1275,29,220335,False,0.5827283388971153,0.41321057693984986,1,-12.758829663966004,0,0.4235102966710806,0.3864957935423071,0.043485869599990706,0.08616106253341847,0.6524183556857107,173.7478574825791,3,mpb
id_00007,Artista 189,Album 199,Faixa 918,86,206076,False,0.7456443347776686,0.6428191915750413,11,-8.987823495897503,0,0.1063581576848998,0.28519452450562216,0.06724251970191787,0.48262130711699797,0.43882255111044394,126.53213802014935,4,country
id_00008,Artista 49,Album 82,Faixa 1068,77,308395,False,0.5009035569027986,0.45991114854252085,2,-11.492447720501339,1,0.19184462215315512,0.3916031374593887,0.03110022071234499,0.16169020352431532,0.6946128144505092,125.27976297244298,5,funk
id_00009,Artista 62,Album 277,Faixa 1072,69,207616,False,0.4010905560357732,0.5708305248365511,9,-7.532366941800436,1,0.2673193513256495,0.5250380289911001,0.054330686729427376,0.31417282460731355,0.5307319443845516,79.05911346107365,4,metal
